algorithm,input_type,n,time_ns,max_depth,comparisons,swaps,allocations
MergeSort,random,1000,18648,7,10265,3609,1000
QuickSort,random,1000,44140,7,10786,6763,0
MergeSort,sorted,1000,14318,7,3956,0,1000
QuickSort,sorted,1000,25282,7,10822,5715,0
MergeSort,reverse_sorted,1000,19137,7,10300,7320,1000
QuickSort,reverse_sorted,1000,28565,7,10228,6151,0
MergeSort,duplicate_heavy,1000,18229,7,9693,3227,1000
QuickSort,duplicate_heavy,1000,68165,4,52884,53081,0
DeterministicSelect,random,1000,62508,11,7584,5190,1000
MergeSort,random,5000,288376,10,58529,11066,5000
QuickSort,random,5000,244097,8,69386,42807,0
MergeSort,sorted,5000,109233,10,27124,0,5000
QuickSort,sorted,5000,129556,9,68771,41668,0
MergeSort,reverse_sorted,5000,117125,10,44324,21960,5000
QuickSort,reverse_sorted,5000,149252,8,69900,38929,0
MergeSort,duplicate_heavy,5000,174465,10,55947,9841,5000
QuickSort,duplicate_heavy,5000,1167125,4,1264150,1267084,0
DeterministicSelect,random,5000,205544,11,19791,13436,5000
MergeSort,random,10000,630670,11,126686,21631,10000
QuickSort,random,10000,523952,10,149190,86574,0
MergeSort,sorted,10000,183195,11,59248,0,10000
QuickSort,sorted,10000,262395,10,148183,87343,0
MergeSort,reverse_sorted,10000,223354,11,93648,43920,10000
QuickSort,reverse_sorted,10000,304230,9,154623,86985,0
MergeSort,duplicate_heavy,10000,374910,11,121726,19754,10000
QuickSort,duplicate_heavy,10000,4929427,4,5033898,5028861,0
DeterministicSelect,random,10000,268542,14,80675,54166,10000
MergeSort,random,50000,3716137,13,769452,139943,50000
QuickSort,random,50000,2815249,11,912358,503018,0
MergeSort,sorted,50000,999714,13,347008,0,50000
QuickSort,sorted,50000,1332021,11,947344,495727,0
MergeSort,reverse_sorted,50000,1209658,13,579408,280512,50000
QuickSort,reverse_sorted,50000,1476733,11,937338,493573,0
MergeSort,duplicate_heavy,50000,2061517,13,733869,126130,50000
QuickSort,duplicate_heavy,50000,120110819,4,125197302,125182163,0
DeterministicSelect,random,50000,1343265,15,413325,274176,50000
MergeSort,random,100000,8316540,14,1639390,280713,100000
QuickSort,random,100000,5882767,12,2021217,1108404,0
MergeSort,sorted,100000,2262382,14,744016,0,100000
QuickSort,sorted,100000,2691001,11,1980044,1042419,0
MergeSort,reverse_sorted,100000,3051174,14,1208816,561024,100000
QuickSort,reverse_sorted,100000,3089099,12,1915583,1128134,0
MergeSort,duplicate_heavy,100000,4509469,14,1562717,252840,100000
QuickSort,duplicate_heavy,100000,476497767,5,500324025,500364053,0
DeterministicSelect,random,100000,2450047,15,799347,525531,100000
MergeSort,random,200000,16557371,15,3478903,561011,200000
QuickSort,random,200000,12064315,12,4370457,2290111,0
MergeSort,sorted,200000,4507653,15,1588032,0,200000
QuickSort,sorted,200000,5571552,13,4391032,2375214,0
MergeSort,reverse_sorted,200000,5639298,15,2517632,1122045,200000
QuickSort,reverse_sorted,200000,6375080,12,4341399,2400152,0
MergeSort,duplicate_heavy,200000,8946861,15,3313933,505809,200000
QuickSort,duplicate_heavy,200000,2240940684,4,2000745845,2000725073,0
DeterministicSelect,random,200000,4904633,17,1660700,1108273,200000
ClosestPair,random,1000,515502,10,9853,0,3000
ClosestPair,random,2000,1392433,11,21731,0,6000
ClosestPair,random,5000,3964354,12,61666,0,15000
ClosestPair,random,10000,6862225,13,133395,0,30000
ClosestPair,random,50000,17502676,16,788852,0,150000
ClosestPair,random,100000,36682879,17,1679098,0,300000
